zone,period_type,period_label,total,correct,accuracy_pct
NO1,lifetime,lifetime,8966,6239,69.59
NO2,lifetime,lifetime,7465,5105,68.39
NO3,lifetime,lifetime,7254,5041,69.49
NO4,lifetime,lifetime,7581,4685,61.8
NO5,lifetime,lifetime,7630,5412,70.93
ALL,lifetime,lifetime,38896,26482,68.08
NO1,month,2026-01,1577,886,56.18
NO2,month,2026-01,1242,724,58.29
NO3,month,2026-01,1241,690,55.6
NO4,month,2026-01,1242,677,54.51
NO5,month,2026-01,1237,734,59.34
NO1,month,2026-02,5736,4482,78.14
NO2,month,2026-02,4979,3720,74.71
NO3,month,2026-02,4975,3966,79.72
NO4,month,2026-02,4955,3092,62.4
NO5,month,2026-02,4953,3893,78.6
NO1,month,2026-03,1164,629,54.04
NO2,month,2026-03,962,518,53.85
NO3,month,2026-03,859,292,33.99
NO4,month,2026-03,1008,722,71.63
NO5,month,2026-03,1097,624,56.88
NO1,month,2026-04,333,162,48.65
NO2,month,2026-04,127,61,48.03
NO3,month,2026-04,135,66,48.89
NO4,month,2026-04,265,140,52.83
NO5,month,2026-04,311,139,44.69
NO1,month,2026-05,156,80,51.28
NO2,month,2026-05,155,82,52.9
NO3,month,2026-05,44,27,61.36
NO4,month,2026-05,111,54,48.65
NO5,month,2026-05,32,22,68.75
NO1,week,2026-W06,830,656,79.04
NO2,week,2026-W06,661,543,82.15
NO3,week,2026-W06,658,513,77.96
NO4,week,2026-W06,655,502,76.64
NO5,week,2026-W06,651,508,78.03
NO1,week,2026-W07,414,359,86.71
NO2,week,2026-W07,330,242,73.33
NO3,week,2026-W07,334,271,81.14
NO4,week,2026-W07,324,194,59.88
NO5,week,2026-W07,327,289,88.38
NO1,week,2026-W08,788,520,65.99
NO2,week,2026-W08,488,343,70.29
NO3,week,2026-W08,485,298,61.44
NO4,week,2026-W08,461,278,60.3
NO5,week,2026-W08,486,325,66.87
NO1,week,2026-W09,547,374,68.37
NO2,week,2026-W09,516,339,65.7
NO3,week,2026-W09,461,160,34.71
NO4,week,2026-W09,360,200,55.56
NO5,week,2026-W09,533,363,68.11
NO1,week,2026-W10,195,95,48.72
NO2,week,2026-W10,146,50,34.25
NO3,week,2026-W10,69,24,34.78
NO4,week,2026-W10,201,193,96.02
NO5,week,2026-W10,113,37,32.74
NO1,week,2026-W11,129,55,42.64
NO2,week,2026-W11,87,47,54.02
NO3,week,2026-W11,100,25,25.0
NO4,week,2026-W11,174,174,100.0
NO5,week,2026-W11,148,83,56.08
NO1,week,2026-W12,163,60,36.81
NO2,week,2026-W12,84,43,51.19
NO3,week,2026-W12,121,47,38.84
NO4,week,2026-W12,160,89,55.63
NO5,week,2026-W12,171,81,47.37
NO1,week,2026-W13,62,43,69.35
NO2,week,2026-W13,65,6,9.23
NO3,week,2026-W13,26,2,7.69
NO4,week,2026-W13,128,48,37.5
NO5,week,2026-W13,159,84,52.83
NO1,week,2026-W14,185,82,44.32
NO2,week,2026-W14,2,0,0.0
NO3,week,2026-W14,78,40,51.28
NO4,week,2026-W14,11,9,81.82
NO5,week,2026-W14,54,17,31.48
NO1,week,2026-W15,15,0,0.0
NO3,week,2026-W15,38,17,44.74
NO4,week,2026-W15,17,10,58.82
NO5,week,2026-W15,81,42,51.85
NO1,week,2026-W16,6,2,33.33
NO2,week,2026-W16,6,2,33.33
NO4,week,2026-W16,28,18,64.29
NO5,week,2026-W16,5,1,20.0
NO1,week,2026-W17,215,117,54.42
NO2,week,2026-W17,225,128,56.89
NO3,week,2026-W17,50,30,60.0
NO4,week,2026-W17,232,137,59.05
NO5,week,2026-W17,85,42,49.41
NO1,week,2026-W18,21,7,33.33
NO2,week,2026-W18,21,8,38.1
NO3,week,2026-W18,6,5,83.33
NO4,week,2026-W18,7,5,71.43
